OBJECTID,NUMERO_ORDINE,TECNICO,DATA_PRELIVEO,SPECIE,LATITUDINE,LONGITUDINE,CULTIVAR,RISULTATO,COMUNE
"12,533","1,646",RNL,11/25/2013 00:00:00,OLEANDRO,40.50361111,16.97000000,****,NEGATIVO,PALAGIANO
"12,534","1,647",RNL,11/25/2013 00:00:00,MALVA,40.50361111,16.97000000,****,NEGATIVO,PALAGIANO
"12,535","1,648",RNL,11/25/2013 00:00:00,OLIVO,40.49861111,16.94638889,****,NEGATIVO,CASTELLANETA
"12,537","1,650",RNL,11/25/2013 00:00:00,MALVA,40.49861111,16.94638889,****,NEGATIVO,CASTELLANETA
"12,538","1,651",RNL,11/25/2013 00:00:00,OLIVO,40.49055556,16.92305556,****,NEGATIVO,CASTELLANETA
"12,539","1,652",RNL,11/25/2013 00:00:00,OLEANDRO,40.49055556,16.92305556,****,NEGATIVO,CASTELLANETA
"12,540","1,653",RNL,11/25/2013 00:00:00,MALVA,40.49055556,16.92305556,****,NEGATIVO,CASTELLANETA
"12,541","1,654",RNL,11/25/2013 00:00:00,OLIVO,40.48805556,16.90694444,****,NEGATIVO,CASTELLANETA
"12,542","1,655",RNL,11/25/2013 00:00:00,MALVA,40.48805556,16.90694444,****,NEGATIVO,CASTELLANETA
"12,543","1,656",RNL,11/25/2013 00:00:00,OLIVO,40.47611111,16.89916667,****,NEGATIVO,CASTELLANETA
"12,544","1,657",RNL,11/25/2013 00:00:00,OLEANDRO,40.47611111,16.89916667,****,NEGATIVO,CASTELLANETA
"12,546","1,659",DLM PIZ ,11/25/2013 00:00:00,OLIVO,40.05722222,18.31555556,****,NEGATIVO,BOTRUGNO
"12,547","1,660",DLM PIZ ,11/25/2013 00:00:00,OLEANDRO,40.05277778,18.33583333,****,NEGATIVO,SAN CASSIANO
"12,548","1,661",DLM PIZ ,11/25/2013 00:00:00,SORGHETTO,40.06000000,18.33222222,****,NEGATIVO,SAN CASSIANO
"12,549","1,662",DLM PIZ ,11/25/2013 00:00:00,MALVA,40.05916667,18.31777778,****,NEGATIVO,BOTRUGNO
"12,550","1,663",DLM PIZ ,11/25/2013 00:00:00,OLIVO,40.04694444,18.32194444,****,NEGATIVO,SAN CASSIANO
"12,551","1,664",DLM PIZ ,11/25/2013 00:00:00,SORGHETTO,40.01527778,18.32416667,****,NEGATIVO,SURANO
"12,552","1,665",DLM PIZ ,11/25/2013 00:00:00,OLIVO,40.01638889,18.34083333,****,NEGATIVO,SPONGANO
"12,553","1,666",DLM PIZ ,11/25/2013 00:00:00,MALVA,40.01722222,18.36750000,****,NEGATIVO,SPONGANO
"12,554","1,667",DLM PIZ ,11/25/2013 00:00:00,OLIVO,40.00972222,18.38583333,****,NEGATIVO,DISO
"12,555","1,668",DLM PIZ ,11/25/2013 00:00:00,OLIVO,40.00166667,18.39416667,****,NEGATIVO,DISO
"12,556","1,669",DLM PIZ ,11/25/2013 00:00:00,OLIVO,40.01944444,18.39138889,****,NEGATIVO,DISO
"12,558","1,449",ARG CGN,11/25/2013 00:00:00,OLIVO,40.41361111,17.82444444,****,NEGATIVO,SAN PANCRAZIO SALENTINO
"12,559","2,298",RUB,11/28/2013 00:00:00,MALVA,40.67527778,16.78194444,****,NEGATIVO,LATERZA
"12,560","2,299",RUB,11/28/2013 00:00:00,SORGHETTO,40.67555556,16.78166667,****,NEGATIVO,LATERZA
"12,561","2,300",RUB,11/28/2013 00:00:00,MALVA,40.66027778,16.77416667,****,NEGATIVO,LATERZA
"12,562","2,301",RUB,11/28/2013 00:00:00,MALVA,40.69777778,16.75805556,****,NEGATIVO,LATERZA
"12,563","2,302",RUB,11/28/2013 00:00:00,MALVA,40.66388889,16.75777778,****,NEGATIVO,LATERZA
"12,531","1,644",RNL,11/25/2013 00:00:00,MALVA,40.50972222,16.99694444,****,NEGATIVO,PALAGIANO
"12,532","1,645",RNL,11/25/2013 00:00:00,OLIVO,40.50361111,16.97000000,****,NEGATIVO,PALAGIANO
"12,564","2,303",RUB,11/28/2013 00:00:00,OLIVO,40.66138889,16.76000000,****,NEGATIVO,LATERZA
"12,565","2,304",RUB,11/28/2013 00:00:00,OLEANDRO,40.65861111,16.76805556,****,NEGATIVO,LATERZA
"12,566","2,305",RUB,11/28/2013 00:00:00,MANDORLO,40.65805556,16.76944444,****,NEGATIVO,LATERZA
"12,567","2,306",RUB,11/28/2013 00:00:00,OLIVO,40.65972222,16.76638889,****,NEGATIVO,LATERZA
"12,568","2,307",RUB,11/28/2013 00:00:00,MALVA,40.66083333,16.75694444,****,NEGATIVO,LATERZA
"12,569","2,308",RUB,11/28/2013 00:00:00,MALVA,40.66111111,16.74805556,****,NEGATIVO,LATERZA
"12,570","2,309",RUB,11/28/2013 00:00:00,MANDORLO,40.66694444,16.73083333,****,NEGATIVO,LATERZA
"12,571","2,310",RUB,11/28/2013 00:00:00,MALVA,40.67250000,16.73638889,****,NEGATIVO,LATERZA
"12,572","2,311",RUB,11/28/2013 00:00:00,SORGHETTO,40.66222222,16.73805556,****,NEGATIVO,LATERZA
"12,573","2,312",RUB,11/28/2013 00:00:00,MANDORLO,40.66111111,16.73805556,****,NEGATIVO,LATERZA
"12,574","2,313",RUB,11/28/2013 00:00:00,OLIVO,40.65972222,16.73805556,****,NEGATIVO,LATERZA
"12,576","2,315",RUB,11/28/2013 00:00:00,OLEANDRO,40.65666667,16.78194444,****,NEGATIVO,LATERZA
"12,577","2,316",RUB,11/28/2013 00:00:00,OLEANDRO,40.65111111,16.80555556,****,NEGATIVO,LATERZA
"12,578","2,317",RUB,11/28/2013 00:00:00,MANDORLO,40.65694444,16.81972222,****,NEGATIVO,LATERZA
"12,579","2,318",RUB,11/28/2013 00:00:00,OLIVO,40.65444444,16.81805556,****,NEGATIVO,LATERZA
"12,580","3,119",ARG VIN,12/09/2013 00:00:00,OLIVO,40.40555556,17.96611111,OGLIAROLA,NEGATIVO,GUAGNANO
"12,581","3,120",ARG VIN,12/09/2013 00:00:00,OLIVO,40.39888889,17.97055556,ALTRE,NEGATIVO,GUAGNANO
"12,582","3,121",ARG VIN,12/09/2013 00:00:00,OLIVO,40.39638889,17.96972222,CELLINA,NEGATIVO,SALICE SALENTINO
"12,583","3,122",ARG VIN,12/09/2013 00:00:00,OLEANDRO,40.38972222,17.96861111,****,NEGATIVO,SALICE SALENTINO
"12,585","3,124",ARG VIN,12/09/2013 00:00:00,OLEANDRO,40.36333333,17.96750000,****,NEGATIVO,SALICE SALENTINO
"12,586","3,125",ARG VIN,12/09/2013 00:00:00,OLIVO,40.36166667,17.96750000,CELLINA,NEGATIVO,SALICE SALENTINO
"12,587","3,126",ARG VIN,12/09/2013 00:00:00,OLIVO,40.35638889,17.96805556,CELLINA,NEGATIVO,VEGLIE
"12,588","3,128",ARG VIN,12/09/2013 00:00:00,OLIVO,40.33944444,17.98111111,OGLIAROLA,NEGATIVO,VEGLIE
"12,589","3,129",ARG VIN,12/09/2013 00:00:00,OLEANDRO,40.34361111,17.99055556,****,NEGATIVO,VEGLIE
"12,590",204,CNR ,11/14/2013 00:00:00,OLIVO,40.52527778,17.06916667,****,NEGATIVO,MASSAFRA
"12,591",205,CNR ,11/14/2013 00:00:00,OLIVO,40.52527778,17.06916667,****,NEGATIVO,MASSAFRA
"12,592",206,CNR ,11/14/2013 00:00:00,OLIVO,40.46666667,16.84277778,****,NEGATIVO,GINOSA
"12,593",207,CNR ,11/14/2013 00:00:00,OLIVO,40.46666667,16.84277778,****,NEGATIVO,GINOSA
"12,594",208,CNR ,11/14/2013 00:00:00,OLIVO,40.46666667,16.84277778,****,NEGATIVO,GINOSA
"12,595",209,CNR ,11/14/2013 00:00:00,OLIVO,40.46666667,16.84277778,****,NEGATIVO,GINOSA
